Task,Arrival Time,Start Time,End Time,Status
5,0,0,1,Partial
5,0,1,2,Complete
9,0,2,3,Partial
9,0,3,4,Complete
11,2,4,6,Partial
11,2,6,8,Partial
11,2,8,9,Partial
38,9,9,12,Partial
38,9,12,13,Complete
11,2,13,14,Partial
11,2,14,15,Partial
11,2,15,17,Partial
11,2,17,19,Complete
82,14,19,20,Partial
82,14,20,22,Partial
82,14,22,23,Partial
82,14,23,24,Partial
82,14,24,25,Partial
82,14,25,26,Partial
92,26,26,28,Complete
82,14,28,29,Partial
82,14,29,31,Complete
88,22,31,32,Partial
88,22,32,37,Partial
88,22,37,38,Partial
88,22,38,39,Complete
42,37,39,42,Partial
36,42,42,43,Partial
36,42,43,44,Complete
42,37,44,46,Partial
42,37,46,47,Partial
42,37,47,48,Complete
12,25,48,49,Partial
12,25,49,51,Partial
12,25,51,52,Partial
12,25,52,53,Partial
12,25,53,54,Partial
12,25,54,55,Partial
12,25,55,56,Partial
12,25,56,57,Complete
52,52,57,61,Partial
52,52,61,63,Complete
6,39,63,64,Partial
6,39,64,65,Partial
6,39,65,66,Partial
6,39,66,68,Partial
6,39,68,69,Partial
6,39,69,71,Partial
6,39,71,73,Complete
47,73,73,75,Partial
47,73,75,76,Partial
47,73,76,77,Complete
98,71,77,78,Partial
50,78,78,79,Complete
98,71,79,81,Partial
98,71,81,82,Complete
33,81,82,83,Partial
33,81,83,85,Complete
4,68,85,86,Partial
59,86,86,87,Partial
59,86,87,88,Complete
24,87,88,89,Partial
24,87,89,91,Complete
83,91,91,93,Complete
4,68,93,94,Partial
14,94,94,96,Partial
14,94,96,97,Partial
14,94,97,99,Complete
4,68,99,101,Partial
4,68,101,102,Partial
4,68,102,104,Partial
4,68,104,107,Complete
20,102,107,111,Partial
20,102,111,112,Partial
20,102,112,113,Complete
97,101,113,114,Partial
74,114,114,116,Partial
74,114,116,119,Complete
97,101,119,120,Partial
97,101,120,121,Partial
97,101,121,125,Partial
97,101,125,126,Complete
95,68,126,128,Partial
95,68,128,129,Partial
95,68,129,136,Complete
96,129,136,138,Partial
96,129,138,142,Partial
96,129,142,143,Complete
18,76,143,146,Partial
18,76,146,147,Partial
16,147,147,150,Partial
16,147,150,153,Complete
18,76,153,159,Complete
23,150,159,165,Complete
80,55,165,176,Complete
60,23,176,188,Complete
78,116,188,202,Complete
46,47,202,216,Complete
62,73,216,230,Complete
77,83,230,244,Complete
56,39,244,259,Complete
85,49,259,275,Complete
73,82,275,291,Complete
70,85,291,308,Complete
26,38,308,325,Complete
68,8,325,343,Complete
64,31,343,361,Complete
19,15,361,380,Complete
69,17,380,399,Complete
90,97,399,420,Complete
84,77,420,441,Complete
17,64,441,463,Complete
49,49,463,485,Complete
40,128,485,507,Complete
39,114,507,530,Complete
21,65,530,553,Complete
22,65,553,576,Complete
32,125,576,600,Complete
61,86,600,624,Complete
71,46,624,648,Complete
8,15,648,672,Complete
99,104,672,696,Complete
41,24,696,722,Complete
57,71,722,748,Complete
58,6,748,774,Complete
89,29,774,801,Complete
93,111,801,829,Complete
27,1,829,858,Complete
87,43,858,888,Complete
63,49,888,918,Complete
13,150,918,949,Complete
51,120,949,980,Complete
55,8,980,1011,Complete
72,1,1011,1043,Complete
30,138,1043,1075,Complete
91,128,1075,1109,Complete
65,142,1109,1143,Complete
54,56,1143,1177,Complete
45,3,1177,1211,Complete
7,46,1211,1246,Complete
31,112,1246,1282,Complete
3,38,1282,1319,Complete
44,52,1319,1357,Complete
25,37,1357,1396,Complete
34,17,1396,1435,Complete
81,32,1435,1474,Complete
10,32,1474,1514,Complete
100,53,1514,1554,Complete
2,146,1554,1594,Complete
66,89,1594,1635,Complete
53,78,1635,1676,Complete
75,66,1676,1719,Complete
76,20,1719,1762,Complete
35,61,1762,1805,Complete
67,138,1805,1849,Complete
29,71,1849,1894,Complete
15,69,1894,1940,Complete
94,75,1940,1987,Complete
86,12,1987,2035,Complete
79,51,2035,2083,Complete
43,96,2083,2132,Complete
48,52,2132,2181,Complete
1,54,2181,2230,Complete
28,121,2230,2280,Complete
37,97,2280,2330,Complete
